Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
5.04,52.3,Derek Carr,Derek,Carr,LV,QB,,,,56,,,Derek Carr LV QB,QB18
5.05,53.3,Zach Wilson,Zach,Wilson,NYJ,QB,,,,57,,,Zach Wilson NYJ QB,QB19
5.06,53.6,Garrett Wilson,Garrett,Wilson,NYJ,WR,,,,58,,,Garrett Wilson NYJ WR,WR17
5.08,56.0,T.J. Hockenson,T.J.,Hockenson,DET,TE,,,,59,,,T.J. Hockenson DET TE,TE5
5.12,59.9,Michael Pittman,Michael,Pittman,IND,WR,,,,60,,,Michael Pittman IND WR,WR18
6.01,60.7,Chris Godwin,Chris,Godwin,TB,WR,,,,61,,,Chris Godwin TB WR,WR19
6.01,61.1,Terry McLaurin,Terry,McLaurin,WAS,WR,,,,62,,,Terry McLaurin WAS WR,WR20
6.02,61.6,David Montgomery,David,Montgomery,CHI,RB,,,,63,,,David Montgomery CHI RB,RB19
6.02,62.4,Darren Waller,Darren,Waller,LV,TE,,,,64,,,Darren Waller LV TE,TE6
6.07,66.6,Jerry Jeudy,Jerry,Jeudy,DEN,WR,,,,65,,,Jerry Jeudy DEN WR,WR21
6.09,69.1,Kenny Pickett,Kenny,Pickett,PIT,QB,,,,66,,,Kenny Pickett PIT QB,QB20
6.09,69.2,Jameson Williams,Jameson,Williams,DET,WR,,,,67,,,Jameson Williams DET WR,WR22
6.09,69.4,Josh Jacobs,Josh,Jacobs,LV,RB,,,,68,,,Josh Jacobs LV RB,RB20
6.10,69.6,Chris Olave,Chris,Olave,NO,WR,,,,69,,,Chris Olave NO WR,WR23
6.10,70.1,Elijah Moore,Elijah,Moore,NYJ,WR,,,,70,,,Elijah Moore NYJ WR,WR24
6.10,70.3,Kirk Cousins,Kirk,Cousins,MIN,QB,,,,71,,,Kirk Cousins MIN QB,QB21
6.11,70.7,DeVonta Smith,DeVonta,Smith,PHI,WR,,,,72,,,DeVonta Smith PHI WR,WR25
7.02,74.5,Mike Evans,Mike,Evans,TB,WR,,,,73,,,Mike Evans TB WR,WR26
7.03,75.3,Aaron Jones,Aaron,Jones,GB,RB,,,,74,,,Aaron Jones GB RB,RB21
7.05,76.9,Rashod Bateman,Rashod,Bateman,BAL,WR,,,,75,,,Rashod Bateman BAL WR,WR27
7.06,78.5,Elijah Mitchell,Elijah,Mitchell,SF,RB,,,,76,,,Elijah Mitchell SF RB,RB22
7.07,78.7,Leonard Fournette,Leonard,Fournette,TB,RB,,,,77,,,Leonard Fournette TB RB,RB23
7.07,79.2,Ezekiel Elliott,Ezekiel,Elliott,DAL,RB,,,,78,,,Ezekiel Elliott DAL RB,RB24
7.08,79.5,Amon-Ra St.,Amon-Ra,St.,Brown,DET,WR,,,79,,,Amon-Ra St. Brown DET WR,WR28
7.08,79.6,Marquise Brown,Marquise,Brown,ARI,WR,,,,80,,,Marquise Brown ARI WR,WR29
