Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
23.03,267.0,,,,,,,,,270,,,Bailey Zappe NE QB,QB46
23.03,267.5,,,,,,,,,271,,,Samaje Perine CIN RB,RB81
23.04,267.8,,,,,,,,,272,,,Isaiah Likely BAL TE,TE41
23.04,268.0,,,,,,,,,273,,,Abram Smith  RB,RB82
23.05,268.5,,,,,,,,,274,,,Olamide Zaccheaus ATL WR,WR105
23.05,269.0,,,,,,,,,275,,,A.J. Green ARI WR,WR106
23.07,270.9,,,,,,,,,276,,,Dyami Brown WAS WR,WR107
23.07,271.1,,,,,,,,,277,,,James Washington DAL WR,WR108
23.08,271.6,,,,,,,,,278,,,Jacoby Brissett CLE QB,QB47
23.08,271.7,,,,,,,,,279,,,Nick Westbrook-Ikhine TEN WR,WR109
23.09,273.1,,,,,,,,,280,,,Sterling Shepard NYG WR,WR110
23.09,273.2,,,,,,,,,281,,,Geno Smith SEA QB,QB48
23.09,273.4,,,,,,,,,282,,,Zack Moss BUF RB,RB83
23.12,275.9,,,,,,,,,283,,,Justin Jackson LAC RB,RB84
23.12,276.2,,,,,,,,,284,,,Anthony Schwartz CLE WR,WR111
23.12,276.4,,,,,,,,,285,,,Foster Moreau LV TE,TE42
24.02,277.8,,,,,,,,,286,,,Sammy Watkins GB WR,WR112
24.03,278.6,,,,,,,,,287,,,Jalen Guyton LAC WR,WR113
24.03,278.6,,,,,,,,,288,,,Carson Strong  QB,QB49
24.03,279.1,,,,,,,,,289,,,Quez Watkins PHI WR,WR114
24.04,279.7,,,,,,,,,290,,,Noah Gray KC TE,TE43
24.04,280.2,,,,,,,,,291,,,Mark Ingram NO RB,RB85
24.04,280.3,,,,,,,,,292,,,Jalen Reagor PHI WR,WR115
24.08,283.9,,,,,,,,,293,,,Kellen Mond MIN QB,QB50
24.08,284.4,,,,,,,,,294,,,Taylor Heinicke WAS QB,QB51
24.09,284.7,,,,,,,,,295,,,Quintez Cephus DET WR,WR116
24.09,285.0,,,,,,,,,296,,,Kennedy Brooks  RB,RB86
24.10,286.4,,,,,,,,,297,,,Kylen Granson IND TE,TE44
24.12,287.8,,,,,,,,,298,,,Jalen Wydermyer  TE,TE45
24.12,288.0,,,,,,,,,299,,,Jauan Jennings SF WR,WR117
25.01,288.6,,,,,,,,,300,,,Erik Ezukanma MIA WR,WR118
25.01,288.8,,,,,,,,,301,,,Tony Jones NO RB,RB87
25.01,288.9,,,,,,,,,302,,,Byron Pringle CHI WR,WR119
25.02,290.1,,,,,,,,,303,,,O.J. Howard BUF TE,TE46
25.03,291.2,,,,,,,,,304,,,Damien Williams ATL RB,RB88
25.03,291.4,,,,,,,,,305,,,Randall Cobb GB WR,WR120
25.03,291.5,,,,,,,,,306,,,Jeff Wilson SF RB,RB89
25.04,291.5,,,,,,,,,307,,,John Bates WAS TE,TE47
25.05,293.1,,,,,,,,,308,,,Isaiah McKenzie BUF WR,WR121
25.07,295.1,,,,,,,,,309,,,Dan Arnold JAX TE,TE48
25.08,295.9,,,,,,,,,310,,,Tylan Wallace BAL WR,WR122
25.09,296.6,,,,,,,,,311,,,Ricky Seals-Jones NYG TE,TE49
25.09,297.4,,,,,,,,,312,,,Derrius Guice  RB,RB90
25.11,299.0,,,,,,,,,313,,,Matt Breida NYG RB,RB91
25.11,299.3,,,,,,,,,314,,,James White NE RB,RB92
25.11,299.4,,,,,,,,,315,,,D'Wayne Eskridge SEA WR,WR123
25.12,299.6,,,,,,,,,316,,,Dontrell Hilliard TEN RB,RB93
25.12,299.7,,,,,,,,,317,,,Jake Ferguson DAL TE,TE50
25.12,299.9,,,,,,,,,318,,,Ihmir Smith-Marsette MIN WR,WR124
26.02,301.7,,,,,,,,,319,,,Cameron Brate TB TE,TE51
26.02,301.7,,,,,,,,,320,,,Tyrod Taylor NYG QB,QB52
26.02,302.4,,,,,,,,,321,,,Tyler Conklin NYJ TE,TE52
26.04,304.5,,,,,,,,,322,,,Boston Scott PHI RB,RB94
26.05,304.7,,,,,,,,,323,,,Antonio Brown  WR,WR125
26.06,305.5,,,,,,,,,324,,,Darius Slayton NYG WR,WR126
26.09,309.1,,,,,,,,,325,,,Mike Davis  RB,RB95
26.09,309.2,,,,,,,,,326,,,Kene Nwangwu MIN RB,RB96
26.10,309.9,,,,,,,,,327,,,Devontae Booker NYG RB,RB97
26.11,311.3,,,,,,,,,328,,,Rex Burkhead HOU RB,RB98
27.02,313.7,,,,,,,,,329,,,Deonte Harris NO WR,WR127
27.02,314.5,,,,,,,,,330,,,Antoine Wesley ARI WR,WR128
27.03,314.7,,,,,,,,,331,,,Zaquandre White  RB,RB99
27.04,315.5,,,,,,,,,332,,,Hunter Long MIA TE,TE53
27.05,317.1,,,,,,,,,333,,,Denzel Mims NYJ WR,WR129
27.06,317.8,,,,,,,,,334,,,Tre' McKitty LAC TE,TE54
27.06,318.1,,,,,,,,,335,,,Auden Tate ATL WR,WR130
27.07,319.3,,,,,,,,,336,,,Jermar Jefferson DET RB,RB100
27.09,321.5,,,,,,,,,337,,,Benny Snell PIT RB,RB101
27.10,321.9,,,,,,,,,338,,,Case Keenum BUF QB,QB53
27.10,322.1,,,,,,,,,339,,,Josh Reynolds DET WR,WR131
27.10,322.4,,,,,,,,,340,,,N'Keal Harry NE WR,WR132
27.11,323.1,,,,,,,,,341,,,Josh Gordon KC WR,WR133
27.11,323.3,,,,,,,,,342,,,Tyler Goodson GB RB,RB102
27.11,323.4,,,,,,,,,343,,,Tutu Atwell LAR WR,WR134
27.12,323.8,,,,,,,,,344,,,Jerrion Ealy  RB,RB103
27.12,323.9,,,,,,,,,345,,,Josiah Deguara GB TE,TE55
28.01,325.0,,,,,,,,,346,,,Max Borghi  RB,RB104
28.01,325.3,,,,,,,,,347,,,Kylin Hill GB RB,RB105
28.02,325.5,,,,,,,,,348,,,Cam Newton  QB,QB54
28.02,326.3,,,,,,,,,349,,,Tre'Quan Smith NO WR,WR135
28.03,326.9,,,,,,,,,350,,,Jerick McKinnon KC RB,RB106
28.04,328.3,,,,,,,,,351,,,D'Vonte Price  RB,RB107
28.05,329.1,,,,,,,,,352,,,Tyler Johnson TB WR,WR136
28.05,329.3,,,,,,,,,353,,,Sam Ehlinger IND QB,QB55
28.06,329.8,,,,,,,,,354,,,Andy Dalton NO QB,QB56
28.06,330.0,,,,,,,,,355,,,Jacob Harris LAR TE,TE56
28.06,330.3,,,,,,,,,356,,,Nelson Agholor NE WR,WR137
28.06,330.3,,,,,,,,,357,,,Zonovan Knight  RB,RB108
28.06,330.5,,,,,,,,,358,,,Brycen Hopkins LAR TE,TE57
28.07,331.2,,,,,,,,,359,,,Laquon Treadwell JAX WR,WR138
28.08,331.9,,,,,,,,,360,,,Cole Beasley  WR,WR139
28.08,331.9,,,,,,,,,361,,,Ashton Dulin IND WR,WR140
28.09,332.7,,,,,,,,,362,,,Jashaun Corbin  RB,RB109
28.09,333.1,,,,,,,,,363,,,Sincere McCormick  RB,RB110
28.12,335.5,,,,,,,,,364,,,Mike Boone DEN RB,RB111
29.02,338.1,,,,,,,,,365,,,Zach Pascal PHI WR,WR141
29.03,339.4,,,,,,,,,366,,,Jaelon Darden TB WR,WR142
29.07,343.1,,,,,,,,,367,,,Kevin Austin JAX WR,WR143
29.08,344.0,,,,,,,,,368,,,Dez Fitzpatrick TEN WR,WR144
29.09,345.1,,,,,,,,,369,,,Dazz Newsome CHI WR,WR145
29.10,345.8,,,,,,,,,370,,,Demetric Felton CLE RB,RB112
29.12,348.0,,,,,,,,,371,,,Duke Johnson BUF RB,RB113
30.02,349.9,,,,,,,,,372,,,Equanimeous St. Brown CHI WR,WR146
